opec,descripcion,nivel_requerido,titulos_requeridos,experiencia_minima_meses
41538,"Desarrollar los planes, programas y proyectos de inspección, vigilancia y control de calidad de los dispositivos médicos y otras tecnologías a nivel nacional.",PROFESIONAL,,30.0
41539,"Desarrollar los planes, programas y proyectos de inspección, vigilancia y control de calidad de los dispositivos médicos y otras tecnologías a nivel nacional.",PROFESIONAL,,30.0
41543,"Gestionar, organizar, controlar y hacer seguimiento a la ejecución de los procesos para la expedición de registros sanitarios y trámites asociados.",PROFESIONAL,,25.0
41546,"Planear las actividades de inspección, vigilancia y control a los productores y distribuidores de productos farmacéuticos, con el fin de garantizar que dichos productos cumplan con los parámetros de calidad establecidos, de acuerdo con las normas y procedimientos vigentes",PROFESIONAL,,25.0
41550,"Ejecutar actividades de inspección, vigilancia y control a productos, productores y distribuidores de productos farmacéuticos, garantizando que los mismos cumplan con los parámetros de calidad y requerimientos establecidos para la elaboración y distribución de productos farmacéuticos, de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,,30.0
41542,"Verificar el cumplimiento de los productos que son competencia del INVIMA en los procesos de Registros Sanitarios, con el fin de garantizar su aptitud para el consumo humano, de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,,30.0
41545,"Gestionar y ejecutar los programas de Inspección, Vigilancia y Control que permitan garantizar la calidad de los mismos de conformidad con la legislación sanitaria y los procedimientos vigentes.",PROFESIONAL,,30.0
41547,"Diseñar los instrumentos, manuales, protocolos, formatos y guías necesarios para la aplicación de la normatividad sanitaria vigente en medicamentos y productos biológicos de acuerdo con las normas y procedimientos establecidos por el Instituto.",PROFESIONAL,,30.0
41548,"Asistir al coordinador del grupo en el trámite de los contratos, el manejo de las bases de datos y la elaboración de informes, de manera que se dé cumplimiento a las normas en la materia, y se responda efectivamente a los requerimientos de las diferentes dependencias.",BACHILLER,,25.0
41549,"Apoyar en la propuesta, planeación, desarrollo y ejecución de planes, programas y acciones relacionados con los productos y establecimientos  competencia de la Dirección de Medicamentos y Productos Biológicos en concordancia con la normatividad sanitaria viente.",PROFESIONAL,,25.0
41563,"Elaborar y revisar los actos administrativos relacionados con los procesos sancionatorios derivados de las actividades de inspección, vigilancia y control efectuados por el instituto dentro de las competencias misionales establecidas para tal fin, conforme a las normas vigentes.",PROFESIONAL,,25.0
41558,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,25.0
41562,"Tramitar y gestionar la respectiva solución a los requerimientos y/o solicitudes tecnológicas, asegurando el cumplimiento de los tiempos indicados en los acuerdos de servicio ante los usuarios del Instituto.",BACHILLER,,25.0
41560,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,25.0
41566,"Proponer políticas para la recepción, análisis, clasificación y distribución de la documentación que se recepciona en el Instituto, así como realizar seguimiento y control para la adecuada ejecución de las actividades que involucren la gestión documental de la dependencia.",PROFESIONAL,,25.0
42760,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41611,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41612,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41613,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41620,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41614,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41616,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41617,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41618,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41621,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41622,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41627,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41628,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41629,"Responder por los estados financieros del INVIMA, de acuerdo con las normas, técnicas contables vigentes y Manual de Procesos y Procedimientos adoptado por la Entidad.",PROFESIONAL,,25.0
41630,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41631,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41634,Brindar el soporte jurídico en el desarrollo de las funciones de la entidad y en la emisión de respuestas a las consultas relacionadas con las competencias de la entidad y proyectos normativos  en aras del cumplimiento cabal de los objetivos institucionales.,PROFESIONAL,,25.0
41632,"Participar en la formulación, diseño, organización, ejecución y control de los planes proyectos, programas y procedimientos que permitan la adecuada administración de los recursos físicos y prestación de servicios administrativos.",PROFESIONAL,,25.0
41633,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41636,"Realizar actividades propias de la dependencia en lo relacionado con la proyección de Actos Administrativos y apoyo a los procesos del talento humano, de acuerdo con las normas y procedimientos vigentes.",BACHILLER,,25.0
41639,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41637,"Realizar Inspección, Vigilancia y Control de Alimentos, Materias Primas para la fabricación de los mismos y bebidas en el área del Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,30.0
41640,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41642,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes,PROFESIONAL,,30.0
41643,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41645,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41646,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41647,"Formular, construir y emplear las acciones para la implementación, mantenimiento y mejora continua del Sistema de Gestión Integrado del Invima, de acuerdo con los requisitos legales y normativos, políticas institucionales y necesidades de las partes interesadas.",PROFESIONAL,,25.0
41650,"Responder por que los reactivos e insumos estén disponibles en calidad y cantidad suficiente para la realización de los análisis fisicoquímico de alimentos y bebidas; prestar apoyo técnico en las actividades propias de la dependencia, cumpliendo con los requerimientos establecidos en las normas y procedimientos vigentes.",NO ESPECIFICADO,,6.0
41648,"Desarrollar actividades del Grupo Laboratorio Productos Farmacéuticos y Otras Tecnologías, en el desarrollo de las actividades de técnicas y administrativas según las normas, estándares y procedimientos vigentes.",NO ESPECIFICADO,,6.0
41649,"Desarrollar actividades del Laboratorio de Productos Biológicos con el fin de verificar el cumplimiento de especificaciones y requerimientos de la calidad de los medicamentos de origen biológico de uso humano, según las normas, estándares y procedimientos vigentes.",PROFESIONAL,,25.0
41651,"Realizar labores de oficina y asistencia administrativa que faciliten el desarrollo de las funciones y responsabilidades de la dependencia, brindando información oportuna, veraz y objetiva a los usuarios sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
41652,"Diseñar, proponer y liderar estudios e investigaciones que promuevan el montaje, validación y estandarización de técnicas analíticas para la Detección y Monitoreo de Organismos Genéticamente Modificados (OGM) de los productos competencia del Instituto.",PROFESIONAL,,25.0
41653,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41654,"Diseñar estrategias y actividades que permitan el fortalecimiento, desarrollo y mantenimiento de la Red Nacional de Laboratorios de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,,25.0
41655,"Brindar información oportuna, veraz y objetiva a los usuarios internos y/o externos sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
41656,"Realizar las actividades del laboratorio de medicamentos, tendientes a asegurar la ejecución de los programas de vigilancia y control incluidos en los planes estratégicos del Instituto.",PROFESIONAL,,25.0
41657,"Brindar información oportuna, veraz y objetiva a los usuarios internos y/o externos sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
41658,"Realizar control de calidad fisicoquímico de productos Farmacéuticos en muestras de alto grado de complejidad, tendientes a asegurar la ejecución de los programas de vigilancia y control incluidos en los planes estratégicos del Instituto.",PROFESIONAL,,25.0
53680,"Ejecutar las estrategias y actividades que permitan el fortalecimiento, desarrollo y mantenimiento de la Red Nacional de Laboratorios y la implementación y mantenimiento del Sistema de Gestión de la Calidad en los laboratorios de la Red Nacional y del INVIMA, de acuerdo con las normas y procedimientos vigentes.",PROFESIONAL,,30.0
41659,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41660,"Desarrollar actividades del Grupo Laboratorio Productos Farmacéuticos y Otras Tecnologías – Área Microbiología con el fin de verificar el cumplimiento de especificaciones y requerimientos de la calidad de los productos farmacéuticos, biológicos de uso humano, cosméticos y   dispositivos médicos, según las normas, estándares y procedimientos vigentes.",PROFESIONAL,,25.0
41662,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41664,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
53697,"Brindar información oportuna, veraz y objetiva a los usuarios internos y/o externos sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
41666,"Brindar información oportuna, veraz y objetiva a los usuarios internos y/o externos sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
42001,"Ejecutar, proponer y desarrollar las acciones que sean necesarias para la evaluación y gestión de los riesgos que se pueden presentar dentro de las actividades referentes a las Buenas Prácticas Clínicas, Farmacovigilancia, Bancos de Sangre, Inspección, Vigilancia y Control de acuerdo a lo establecido en la Dirección de Medicamentos y Productos Biológicos y a la normatividad vigente.",PROFESIONAL,,31.0
41668,"Brindar información oportuna, veraz y objetiva a los usuarios internos y/o externos sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
41669,"Garantizar el cumplimiento de los estándares técnicos requeridos y el desarrollo de nuevas metodologías, programas y planes de muestreo relacionados con los análisis microbiológicos para la determinación de agentes patógenos presentes en los alimentos, materias primas y bebidas, con el fin de verificar los requisitos de inocuidad, como apoyo a los programas de vigilancia y control competencia de la dirección de Alimentos y Bebidas.",PROFESIONAL,,25.0
41902,"Realizar actividades de apoyo técnico que permitan la Inspección, Vigilancia y Control de los productos competencia del INVIMA, para la fabricación de los mismos, así como resolver y remitir los informes relacionados con la expedición de los registros sanitarios.",PROFESIONAL,,9.0
41902,"Realizar actividades de apoyo técnico que permitan la Inspección, Vigilancia y Control de los productos competencia del INVIMA, para la fabricación de los mismos, así como resolver y remitir los informes relacionados con la expedición de los registros sanitarios.",NO ESPECIFICADO,,9.0
41682,"Brindar información oportuna, veraz y objetiva a los usuarios internos y/o externos sobre trámites, normas, requisitos, formatos y estado de los asuntos en trámite, de acuerdo con las normatividad, reglamentaciones y procedimientos vigentes.",BACHILLER,,25.0
41684,"Realizar la ejecución y seguimiento de los procesos administrativos, operativos, financieros o presupuestales para el buen funcionamiento de las operaciones de la dependencia.",PROFESIONAL,,25.0
41685,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41686,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41692,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41696,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41694,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41701,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41702,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41703,"Realizar funciones de asistencia administrativa que faciliten el desarrollo y ejecución de las actividades del área, de acuerdo con las normas y procedimientos vigentes, brindando información general a los usuarios acerca de las normas y estado de los trámites solicitados ante el Instituto, de acuerdo con la normatividad, procedimientos vigentes y políticas de la Entidad.",NO ESPECIFICADO,,6.0
41714,"Definir, diseñar y valorar estrategias e instrumentos para la ejecución de las políticas, planes, programas y proyectos de inspección, vigilancia y control de calidad y seguridad de los cosméticos, aseo, plaguicidas y productos de higiene doméstica comercializados en el país de conformidad con la legislación sanitaria y los procedimientos vigentes.",PROFESIONAL,,31.0
41707,"Elaborar, planificar y programar las actividades administrativas que permitan el buen desempeño de las funciones en las direcciones misionales del instituto y conlleven a alcanzar el cumplimiento de la planificación estratégica del Instituto.",PROFESIONAL,,25.0
41709,"Realizar funciones de asistencia administrativa que faciliten el desarrollo y ejecución de las actividades del área, de acuerdo con las normas y procedimientos vigentes, brindando información general a los usuarios acerca de las normas y estado de los trámites solicitados ante el Instituto, de acuerdo con la normatividad, procedimientos vigentes y políticas de la Entidad.",NO ESPECIFICADO,,6.0
41712,"Realizar labores de oficina y asistencia administrativa, apoyando las labores propias de inventarios, elaboración de documentos, recolección de información y elaboración de informes.",NO ESPECIFICADO,,6.0
41718,Realizar actividades de Inspección Vigilancia y Control de plantas de beneficio de animales de abasto público; para la protección de la salud de la población de conformidad con la legislación y procedimientos vigentes.,PROFESIONAL,,30.0
41719,"Definir y proponer metodologías, herramientas e instrumentos para la ejecución de las políticas, desarrollo de planes, programas y proyectos relacionados con las actividades de pre comercialización y post comercialización de los dispositivos médicos y otras tecnologías a nivel nacional.",PROFESIONAL,,31.0
41720,"Definir los instrumentos para la ejecución de las políticas, desarrollo de planes, programas y proyectos de inspección, vigilancia y control bajo el enfoque de riesgo de los productos competencia de la Dirección.",PROFESIONAL,,31.0
41721,"Conducir y custodiar el vehículo asignado al servicio del Instituto, respetando las disposiciones de tránsito y normas de seguridad.",NO ESPECIFICADO,,
41722,"Definir los instrumentos para la ejecución de las políticas, desarrollo de planes, programas y proyectos de vigilancia sanitaria, así como de la expedición de registros sanitarios de los dispositivos médicos y otras tecnologías a nivel nacional.",PROFESIONAL,,31.0
41725,"Definir los instrumentos para la ejecución de las políticas, desarrollo de planes, programas y proyectos de vigilancia post comercialización bajo el enfoque de riesgo de los dispositivos médicos y otras tecnologías.",PROFESIONAL,,31.0
41727,Ejecución de políticas para la expedición de registros sanitarios y la oportuna expedición y notificación de los actos administrativos que de ellos se derive.,PROFESIONAL,,31.0
41731,"Ejecutar, proponer y desarrollar las acciones que sean necesarias para la evaluación y gestión de los riesgos que se pueden presentar dentro de las actividades referentes a las Buenas Prácticas Clínicas, Farmacovigilancia, Bancos de Sangre, Inspección, Vigilancia y Control de acuerdo a lo establecido en la Dirección de Medicamentos y Productos Biológicos y a la normatividad vigente.",PROFESIONAL,,31.0
41735,"Asistir, apoyar y gestionar la ejecución de actividades relacionadas con asuntos técnicos y científicos de competencia de la dependencia y del Instituto.",PROFESIONAL,,31.0
41736,"Ejecución de políticas para la expedición de registros sanitarios y la oportuna expedición y notificación de los actos administrativos que de ellos se derive, ejecutar las acciones que se requieran para la evaluación y gestión de los riesgos que se pueden presentar dentro de lo relacionado con las Buenas Prácticas Clínicas, Farmacovigilancia, Bancos de Sangre, Inspección, Vigilancia y Control de acuerdo a lo establecido en la Dirección de Medicamentos y Productos Biológicos y a la normatividad vigente.",PROFESIONAL,,31.0
41737,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41738,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41739,"Apoyar a la Dirección en la planeación, organización y ejecución de las actividades misionales de Medicamentos y Productos Biologicos, preparación de informes, reportes y seguimiento de las actividades de planes operativos, presupuesto, articulación con otras dependencias y seguimiento a la ejecución de las metas de la dirección.",PROFESIONAL,,31.0
41740,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41743,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41741,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41742,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41744,"Ejecución de políticas para la expedición de registros sanitarios y la oportuna  notificación de los actos administrativos que de ellos se derive, así como las actividades relacionadas con las Buenas Prácticas Clínicas, Farmacovigilancia, de acuerdo a lo establecido en la Dirección de Medicamentos y Productos Biológicos y a la normatividad vigente.",PROFESIONAL,,31.0
41745,"Realizar Inspección, Vigilancia y Control de Productos Competencia del INVIMA según sea el caso, en concordancia con la legislación sanitaria, los procedimientos, las políticas y directrices del Instituto.",PROFESIONAL,,31.0
41747,"Elaborar y revisar los actos administrativos relacionados con los procesos sancionatorios derivados de las actividades de inspección, vigilancia y control efectuados por el instituto dentro de las competencias misionales establecidas para tal fin, conforme a las normas vigentes.",PROFESIONAL,,31.0
41748,"Realizar actividades de apoyo y asistencia administrativa en el trámite y ejecución de los procesos llevados a cabo en la dependencia, de acuerdo con las disposiciones legales, reglamentarias y procedimientos vigentes.",NO ESPECIFICADO,,6.0
41749,"Gestionar y liderar la implementación de proyectos y estrategias relacionadas con la infraestructura de sistemas tecnológicos y de comunicaciones del Instituto, servicios de apoyo, continencia, seguridad y el soporte tecnológico a la operación dentro de los acuerdos de servicio establecidos para el Instituto.",PROFESIONAL,,31.0
41750,"Realizar actividades de apoyo y asistencia administrativa en el trámite y ejecución de los procesos llevados a cabo en la dependencia, de acuerdo con las disposiciones legales, reglamentarias y procedimientos vigentes.",NO ESPECIFICADO,,6.0
41751,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41752,"Cumplir con la inspección, vigilancia y control de los alimentos y bebidas, en concordancia con la legislación sanitaria, las políticas, directrices del Instituto y los procedimientos vigentes en cumplimiento de su misión institucional.",PROFESIONAL,,30.0
41864,Realizar actividades técnicas y administrativas a la Oficina Asesora Jurídica buscando dar respuesta oportuna a los diferentes requerimientos y proponer diseño de metodologías de procesamiento de información en procura de mejorar los resultados del trabajo.,PROFESIONAL,,9.0
41864,Realizar actividades técnicas y administrativas a la Oficina Asesora Jurídica buscando dar respuesta oportuna a los diferentes requerimientos y proponer diseño de metodologías de procesamiento de información en procura de mejorar los resultados del trabajo.,NO ESPECIFICADO,,9.0
41755,"Desarrollar acciones para la implementación de negociaciones y acuerdos internacionales, planes, proyectos y estrategias que permitan al Instituto cumplir con los compromisos internacionales adquiridos en relación con los productos y actividades de competencia del INVIMA.",PROFESIONAL,,31.0
41756,Aplicar los conocimientos en el mejoramiento continuo de los procesos administrativos y mejorar la ejecución de los procedimientos de la dependencia donde se encuentre ubicado el cargo.,PROFESIONAL,,9.0
41756,Aplicar los conocimientos en el mejoramiento continuo de los procesos administrativos y mejorar la ejecución de los procedimientos de la dependencia donde se encuentre ubicado el cargo.,NO ESPECIFICADO,,9.0
41759,"Soportar la realización de las actividades que contribuyan a la ejecución adecuada de las políticas, planes, programas y proyectos relacionados con el registro sanitario, notificación sanitaria, inspección, vigilancia y control sanitario de los productos cosméticos, de higiene doméstica, absorbentes de higiene personal y plaguicidas de uso doméstico de acuerdo con la normatividad sanitaria legal vigente.",PROFESIONAL,,9.0
41759,"Soportar la realización de las actividades que contribuyan a la ejecución adecuada de las políticas, planes, programas y proyectos relacionados con el registro sanitario, notificación sanitaria, inspección, vigilancia y control sanitario de los productos cosméticos, de higiene doméstica, absorbentes de higiene personal y plaguicidas de uso doméstico de acuerdo con la normatividad sanitaria legal vigente.",NO ESPECIFICADO,,9.0
41760,"Brindar el soporte jurídico en el desarrollo de las funciones del Instituto en aras del cumplimiento cabal de los objetivos institucionales, así como defender los intereses del Instituto a través de la defensa judicial y extrajudicial y haciendo efectivas todas aquellas acreencias a favor del INVIMA, de acuerdo con las normas vigentes.",PROFESIONAL,,31.0
41762,"Planear, diseñar y desarrollar los proyectos y actividades que permitan el mantenimiento y mejora continua del Sistema de Gestión Integrado del Invima, de acuerdo con los requisitos legales y normativos, políticas institucionales y necesidades de las partes interesadas.",PROFESIONAL,,31.0
41764,"Preparar y presentar las estrategias e instrumentos definidos para la ejecución adecuada de las políticas, planes, programas y proyectos de vigilancia y control de calidad de los dispositivos médicos y otras tecnologías.",PROFESIONAL,,9.0
41764,"Preparar y presentar las estrategias e instrumentos definidos para la ejecución adecuada de las políticas, planes, programas y proyectos de vigilancia y control de calidad de los dispositivos médicos y otras tecnologías.",NO ESPECIFICADO,,9.0
41775,"Realizar actividades de apoyo técnico y administrativo dentro de la Dirección de Medicamentos y Productos Biológicos, en concordancia con la legislación sanitaria, procedimientos, políticas y directrices vigentes.",PROFESIONAL,,9.0
41775,"Realizar actividades de apoyo técnico y administrativo dentro de la Dirección de Medicamentos y Productos Biológicos, en concordancia con la legislación sanitaria, procedimientos, políticas y directrices vigentes.",NO ESPECIFICADO,,9.0
41776,"Realizar actividades de apoyo técnico y administrativo dentro de la Dirección de Medicamentos y Productos Biológicos, en concordancia con la legislación sanitaria, procedimientos, políticas y directrices vigentes.",PROFESIONAL,,9.0
41776,"Realizar actividades de apoyo técnico y administrativo dentro de la Dirección de Medicamentos y Productos Biológicos, en concordancia con la legislación sanitaria, procedimientos, políticas y directrices vigentes.",NO ESPECIFICADO,,9.0
41777,"Coordinar y ser el líder técnico del Grupo del Laboratorio Físico mecánico de Dispositivos Médicos y Otras Tecnologías en  el desarrollo e implementación de métodos de ensayos para el control de calidad de los productos competencia de la Dirección de Dispositivos Médicos y Otras Tecnologías, así como garantizar el cumplimiento de los estándares técnicos requeridos",PROFESIONAL,,31.0
41778,"Gestionar y liderar la implementación de proyectos y estrategias de gestión de información en función de una mejora continua que permita disponer de los datos de forma oportuna, confiable y segura para la toma de decisiones a todos los niveles de la Institución.",PROFESIONAL,,31.0
41779,"Realizar actividades de apoyo técnico y asistencial que permitan la Inspección, Vigilancia y Control de Alimentos y materias primas para la fabricación de los mismos en el Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación y procedimientos vigentes y las políticas y directrices del Instituto.",PROFESIONAL,,
41779,"Realizar actividades de apoyo técnico y asistencial que permitan la Inspección, Vigilancia y Control de Alimentos y materias primas para la fabricación de los mismos en el Grupo de Trabajo asignado y en particular en el puerto, aeropuerto o paso fronterizo, según sea el caso, en concordancia con la legislación y procedimientos vigentes y las políticas y directrices del Instituto.",NO ESPECIFICADO,,9.0
41780,Apoyar y recomendar legalmente en todos los asuntos de competencia de la dependencia y de los programas del Instituto.,PROFESIONAL,,31.0
