postulante,nivel_educativo_texto,titulos_principales,anios_experiencia_efectiva,total_formaciones,cantidad_nbc,cantidad_areas,nivel_educativo_maximo,cant_bachiller,cant_doctorado,cant_educacion_basica_primaria,cant_educacion_basica_secundaria,cant_educacion_informal,cant_especializacion_profesional,cant_especializacion_tecnica_profesional,cant_especializacion_tecnologica,cant_formacion_academica,cant_formacion_laboral,cant_formacion_penitenciaria,cant_maestria,cant_normalista,cant_postdoctorado,cant_profesional,cant_tecnico_profesional,cant_tecnologico,tiene_posgrado,tiene_formacion_complementaria,perfil_multidisciplinario,total_experiencias,periodos_efectivos,dias_experiencia_efectiva,anios_experiencia_efectiva,antiguedad_laboral_dias,antiguedad_laboral_anios,densidad_laboral,duracion_promedio_experiencia,duracion_maxima_experiencia,duracion_minima_experiencia,experiencia_amplia,experiencia_extensa,trayectoria_estable,multiples_experiencias,total_empleos_postulados,participa_varios_concursos
897161734,TECNICO PROFESIONAL,BACHILLER ACADEMICO | TECNICO EN CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS,0.51,2,0,0,TECNICO PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,185,0.51,185,0.51,1.0,185.0,185,185,0,0,1,0,1,0
897162413,BACHILLER,Bachiller académico con énfasis empresarial,11.66,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4259,11.66,4259,11.66,1.0,4259.0,4259,4259,1,1,1,0,1,0
897169520,BACHILLER,BACHILLER,5.26,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1922,5.26,3773,10.33,0.509,486.75,791,225,1,0,0,1,1,0
897170933,TECNOLOGICO,ADMINISTRACIONDOCUMENTAL EN EL ENTORNO LABORAL | BACHILLER ACADEMICO CON ENFASIS EN CIENCIAS NATURALES | TECNOLOGIA EN GESTION DOCUMENTAL | USO DE LA HERRAMIENTA OFIMATICA MICROSOFT WORD PARA EL PROCESAMIENTO DE TEXTOS,12.53,4,0,1,EDUCACION INFORMAL,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4577,12.53,4577,12.53,1.0,4577.0,4577,4577,1,1,1,0,1,0
897174019,TECNOLOGICO,CONTADURÍA PÚBLICA | TECNICO LABORAL POR COMPETENCIAS EN SISTEMAS | TECNOLOGIA EN GESTION LOGISTICA,8.14,3,2,2,PROFESIONAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,2,2973,8.14,3537,9.68,0.841,1486.5,1817,1156,1,0,1,0,1,0
897174189,PROFESIONAL,Administrando Información con Microsoft Excel | DATA ANALYTICS | Diploma of Project Management | English Language Study | FINANZAS Y NEGOCIOS INTERNACIONALES | Seminario de Redacción y Ortografía,7.77,6,1,1,EDUCACION INFORMAL,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2837,7.77,3821,10.46,0.742,1731.0,2552,285,1,0,0,1,1,0
897174453,BACHILLER,BACHILLER ACADEMICO | Fundamentación Vigilancia,21.24,2,0,0,EDUCACION INFORMAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7757,21.24,7757,21.24,1.0,7757.0,7757,7757,1,1,1,0,1,0
897174985,TECNICO PROFESIONAL,Bachiller Tecnico Agropecuario | Tecnico Laboral por Competencias en Administracion | Tecnico Laboral por Competencias en Contabilidad,11.22,3,0,0,FORMACION ACADEMICA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,4099,11.22,4396,12.04,0.932,1366.33,3187,152,1,1,1,1,1,0
897176655,BACHILLER,BACHILLER ACADEMICO,5.28,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1930,5.28,2023,5.54,0.954,965.0,1534,396,1,0,1,0,1,0
897178563,PROFESIONAL,BACHILLER | COMPETENCIAS GENERALES PARA EL EMPLEO PUBLICO | HABILIDADES TRANSVERSALES PARA EL EJERCICIO DE LA FUNCIÓN PÚBLICA | LICENCIATURA EN ESPAÑOL Y LITERATURA,25.98,4,1,1,PROFESIONAL,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,9488,25.98,9488,25.98,1.0,9488.0,9488,9488,1,1,1,0,1,0
897178614,TECNICO PROFESIONAL,APTITUD OCUPACIONAL TECNICO EN AUXILIAR DE ENFERMERIA | BACHILLER ACADEMICO | BACHILLER BÁSICO,0.19,3,0,0,EDUCACION INFORMAL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,70,0.19,70,0.19,1.0,70.0,70,70,0,0,1,0,1,0
897178707,TECNICO PROFESIONAL,BACHILLER ACADEMICO | SECRETARIADOGERENCIAL Y CONTABLE,1.57,2,0,0,BACHILLER,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,573,1.57,2608,7.14,0.22,286.5,348,225,0,0,0,0,1,0
897179013,BACHILLER,ADMINISTRACION EN SEGURIDAD Y SALUD EN EL TRABAJO | ATENCION Y SERVICIO AL CLIENTE | Analisis de datos para las organizaciones | BACHILLER ACADEMICO | CERTIFICADO GRADO QUINTO | COSTITUCION POLITICA | Curso transversal-innovación y creatividad para la generación de negocio | DESARROLLO SOCIAL EN EL MARCO DE LOS DERECHOS DE LOS NIÑOS NIÑAS Y ADOLECENTES | Evaluación de riesgos psicosociales | Riesgo locativo y tarea de alto riesgo | TALLER DE MANICURA Y PEDICURA,2.74,12,0,1,PROFESIONAL,1,0,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,3,1001,2.74,1364,3.73,0.734,306.0,605,185,0,0,0,1,1,0
897179022,BACHILLER,BACHILLER,0.12,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,0.12,45,0.12,1.0,45.0,45,45,0,0,1,0,1,0
897179485,PROFESIONAL,ADMINISTRACION FINANCIERA | BACHILLER | TECNICO LABORAL POR COMPETENCIAS EN AUXILIAR CONTABLE Y FINANCIERO,5.74,3,1,1,PROFESIONAL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,2096,5.74,2566,7.03,0.817,524.0,880,281,1,0,1,1,1,0
897179750,PROFESIONAL,CONTADURIA PUBLICA,9.5,1,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3470,9.5,3470,9.5,1.0,3470.0,3470,3470,1,0,1,0,1,0
897181805,BACHILLER,ACTUALIZACION EN SEGURIDAD Y PROTECCION A PERSONAS | BACHILLER ACADEMICO | CURSO DE SEGURIDAD Y PROTECCION A DIGNATARIOS | ENFOQUE DIFERENCIALEN LA POLITICA PUBLICA DE VICTIMAS | FUNDAMENTACION ESCOLTA | FUNDAMENTACION VIGILANCIA | MANEJO DEFENSIVO COD | TECNICO PROFESIONAL EN SERVICIO DE POLICIA | TEORICO PRACTICO EN PRUEBA DE CONDUCCION,22.28,9,1,1,EDUCACION INFORMAL,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,8137,22.28,8137,22.28,1.0,4069.0,7772,366,1,1,1,0,1,0
897182768,PROFESIONAL,DIPLOMADO MIPG | INGENIERIA CIVIL,2.12,2,0,1,EDUCACION INFORMAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,8,776,2.12,802,2.2,0.968,97.0,176,32,0,0,1,1,1,0
897277193,BACHILLER,BACHILLER | DIPLOMADO EN LOGÍSTICA DE LA CADENA DE SUMINISTRO | Fundamentos De Logística Transporte Y  Distribucion | INTRODUCCION EN SEGURIDAD Y SALU EN EL TRABAJO | MANEJO DE HERRAMIENTAS MICROSOFT OFFICE NIVEL II | SUPERVISOR DE OPERACIONES | VIGILANCIA Y SEGURIDAD PRIVADA,3.79,7,0,0,EDUCACION INFORMAL,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1384,3.79,1452,3.98,0.953,461.33,677,340,0,0,1,1,1,0
897277608,BACHILLER,FUNDAMENTACION VIGILANCIA | REENTRENAMIENTO VIGILANCIA | Reinducción Occidente Seguridad Privada 2022 | bachiller tecnico comercial con enfasis en sistemas,2.42,4,0,0,EDUCACION INFORMAL,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,885,2.42,885,2.42,1.0,442.5,681,204,0,0,1,0,1,0
897279641,BACHILLER,ABC DE LOS RESIDUOS PELIGROSOS RESPEL | BACHILLER ACADEMICO | COMUNICACION ASERTIVA Y EFECTIVA EN EQUIPOS DE TRABAJO | SALUD OCUPACIONAL Y SEGURIDAD INDUSTRIAL | SEGURIDAD BASADA EN EL COMPORTAMIENTO,0.84,5,0,0,EDUCACION INFORMAL,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,306,0.84,306,0.84,1.0,306.0,306,306,0,0,1,0,1,0
897372448,TECNICO PROFESIONAL,AVANZADO DE VIGILANCIA Y SEGURIDAD PRIVADA | BACHILLER ACADEMICO | COMUNICACION EN INGLES PRE A1 PRE PRINCIPIANTE | CONOZCAMOS LOS RESULTADOS DE LA ESTRATEGIA MIPYMES SE TRANSFORMA | Conocimiento en armas de fuego | DISEÑO Y CALCULO DE LAS INSTALACIONES ELECTRICAS | DISEÑO Y MONTAJE DE SISTEMAS SOLARES FOTOVOLTAICOS BASICOS | DISEÑO Y PLANOS EN AUTOCAD 2D | INFORMATICA APLICADA EXCEL | Lucha contra la corrupcion | MICROSOFT WORD | Modelo Integrado de planeacion y gestion | PROMOTOR DE CONVIVENCIA CIUDADANA | RECONOCIMIENTO DEL REGLAMENTO TECNICO DE INSTALACIONES ELECTRICAS RETIE | REENTRENAMIENTO VIGILANCIA | Reentrenamiento de vigilancia | Reentrenamiento vigilancia | TECNICO EN INSTALACIONES DE SITEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES | TECNICO EN MANTENIMIENTO DE LAS MOTOCICLETAS,6.41,19,0,0,BACHILLER,1,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,6,2341,6.41,4634,12.69,0.505,390.17,1461,82,1,0,0,1,1,0
897373342,PROFESIONAL,ACOMPAÑAMIENTO Y MANEJO DEL DUELO | ATENCION A VICTIMAS DE ATAQUES CON ANTIGENOS QUIMICOS | ATENCION CON ENFOQUE PSICOSOCIAL A VICTRIMAS DEL CONFLICTO ARMADO | BACHILLER ACADEMICO | ENFERMERIA | PREVENCION SECUNDARIA DE ENFERMEDADES CARDIOVASCULARES | PREVENCION Y MANEJO DE LA ENFERMEDAD RENAL CRONICA PARA EQUIPOS DEL PRIMER NIVEL DE ATENCION | SOPORTE CARDIOVASCULAR AVANZADO | TABACO Y SALUD PUBLICA,4.06,9,1,1,EDUCACION INFORMAL,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1482,4.06,1943,5.32,0.763,741.0,1431,51,0,0,0,0,1,0
897374338,BACHILLER,ADMINISTRACION DE EMPRESAS | BACHILLAR ACANDEMICO | CONTABILIDAD RECONOCIMIENTO DE RECURSOS FINANCIEROS,23.75,3,0,0,EDUCACION INFORMAL,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,8675,23.75,10829,29.65,0.801,1735.0,4152,47,1,1,1,1,1,0
897374703,PROFESIONAL,BACHILLERATO ACADÉMICO | COMUNICACION SOCIAL | CREATIVIDAD PARA LA SOLUCIÓN DE CONFLICTOS LABORALES | ESTRATEGIAS PARA EL ACCESO Y USO DE LA INFORMACIÓN | ESTRATEGIAS PARA EL MEJORAMIENTO DE LA COMPRENSIÓN LECTORA | FORMULACIÓN DE PROYECTOS EN MI PROFESIÓN | GESTIÓN DEL TALENTO HUMANO UN ENCUENTRO CON LA ÉTICA EN EL CONTEXTO LABORAL E INDIVIDUAL | HABILIDADES PARA LA VIDA | UPM360 ORIENTACIÓN PROFESIONAL,0.5,9,1,1,EDUCACION INFORMAL,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,182,0.5,182,0.5,1.0,182.0,182,182,0,0,1,0,1,0
897377393,TECNOLOGICO,Atender clientes de acuerdo con procedimiento de servicio y normativa - NIVEL INTERMEDIO | Educacion Basica Secundaria | TECNOLOGIA EN GESTION CONTABLE Y FINANCIERA | Tecnico laboral auxiliar contable y financiera,1.34,4,0,0,TECNICO PROFESIONAL,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,488,1.34,488,1.34,1.0,488.0,488,488,0,0,1,0,1,0
897377622,TECNICO PROFESIONAL,BACHILLER ACADEMICO | ORGANIZACION DOCUMENTAL l AGN | TECNICO EN APOYO ADMINISTRATIVO EN SALUD,10.57,3,0,0,TECNICO PROFESIONAL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6,3862,10.57,5174,14.17,0.746,643.67,1292,166,1,1,0,1,3,1
897377820,TECNICO PROFESIONAL,BACHILLER EN TECNOLOGIA MODALIDAD PROMOCION DE LA COMUNIDADAD | BASICA PRIMARIA | CURSO DE SEGURIDAD Y PROTECCION A DIGNATARIOS | Salud Ocupacional Seguridad y Salud en el Trabajo | TECNICO PROFESIONAL EN SERVICIO DE POLICIA,22.97,5,1,1,EDUCACION BASICA PRIMARIA,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,8391,22.97,8391,22.97,1.0,8391.0,8391,8391,1,1,1,0,1,0
897380641,PROFESIONAL,INGENIERIA AMBIENTAL,0.34,1,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,123,0.34,123,0.34,1.0,123.0,123,123,0,0,1,0,1,0
897380694,TECNOLOGICO,BACHILLER ACADEMICO | CURSO VIRTUAL FUNDAMENTOS BASICOS DE GESTION DOCUMENTAL | CURSO VIRTUAL METODOLOGIA PARA LA ELABORACION DEL DIAGNOSTICOINTEGRAL DE ARCHIVO | DIPLOMADO GESTION DOCUMENTAL E INSTRUMENTOS ARCHIVISTICOS | MARCOS DE REFERECIA Y ELEMENTOS DE LA CLASIFICACION DOCUMENTAL | SEMINARIO GESTION DOCUMENTAL | TECNOLOGIA EN GESTION DOCUMENTAL,6.73,7,0,1,EDUCACION INFORMAL,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,13,2459,6.73,3112,8.52,0.79,189.15,357,89,1,0,0,1,1,0
897382341,BACHILLER,BACHILLER ACADEMICO | BACHILLERATO BASICO,4.85,2,0,0,EDUCACION BASICA SECUNDARIA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1771,4.85,3456,9.46,0.512,196.78,784,4,0,0,0,1,1,0
897383628,ESPECIALIZACION PROFESIONAL,BALLICHER ACADEMICO | DERECHO | ESPECIALIZACION EN DERECHO PENAL | ESPECIALIZACION EN DERECHO PROCESAL PENAL,24.43,4,1,1,ESPECIALIZACION PROFESIONAL,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,8924,24.43,9040,24.75,0.987,3435.33,7320,1382,1,1,1,1,1,0
897386748,PROFESIONAL,Bachiller academico | DERECHO | DIPLOMADO DE ACTUALIZACION JURIDICA | Derecho,1.91,4,1,1,FORMACION ACADEMICA,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,3,696,1.91,2878,7.88,0.242,232.0,335,86,0,0,0,1,1,0
897387216,PROFESIONAL,derecho,9.12,1,0,0,EDUCACION BASICA PRIMARIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3331,9.12,3874,10.61,0.86,1665.5,2750,581,1,0,1,0,1,0
897387819,BACHILLER,CON ÉNFASIS EN CIENCIAS NATURALES,16.2,1,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5917,16.2,5917,16.2,1.0,5917.0,5917,5917,1,1,1,0,1,0
897388034,BACHILLER,bachiller academico,8.5,1,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3106,8.5,3120,8.54,0.996,1553.0,1828,1278,1,0,1,0,1,0
897389279,BACHILLER,Bachiller con profundización en educación | FORMACION EN DANZA FOLCLORICA COLOMBIANA | TECNICO EN FRUTAS Y HORTALIZAS CON ENFASIS EN RECOLECCION,2.67,3,0,0,BACHILLER,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,974,2.67,1067,2.92,0.913,487.0,710,264,0,0,1,0,1,0
897389488,PROFESIONAL,ADMINISTRACION PUBLICA | BACHILLER ACADEMICO,29.36,2,1,1,PROFESIONAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,12,10724,29.36,10893,29.82,0.984,867.85,3209,23,1,1,1,1,1,0
897390614,TECNOLOGICO,Bachiller Técnico Especialidad Comercio en Gestión Empresarial | COMERCIO INTERNACIONAL | TECNOLOGIA EN SALUD OCUPACIONAL,1.45,5,1,2,PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,6,531,1.45,656,1.8,0.809,88.5,148,43,0,0,1,1,1,0
897391678,TECNICO PROFESIONAL,BACHILLER ACADEMICO | FUNDAMENTACION ESCOLTA | FUNDAMENTACION VIGILANCIA | INVESTIGADOR CRIMINALISTICA Y JUDICIAL,1.66,4,0,0,FORMACION LABORAL,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,607,1.66,607,1.66,1.0,607.0,607,607,0,0,1,0,1,0
897392207,BACHILLER,Bachiller industrial | Técnico en Asistente Administrativo,5.08,2,0,0,FORMACION LABORAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,1855,5.08,4337,11.87,0.428,309.17,899,80,1,0,0,1,1,0
897392974,BACHILLER,BACHILLER TECNICO ESPECIALIDAD SECRETARIADO Y COMERCIO,11.04,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4032,11.04,4979,13.63,0.81,1344.0,1892,715,1,1,1,1,1,0
897395290,TECNICO PROFESIONAL,BACHILLER ACADÉMICO | DIPLOMADO EN DESARROLLO DE LAS CAPACIDADES FÍSICAS PARA EL BIENESTAR INTEGRAL | ENGLISH DOT WORKS 3 | FORTALECIMIENTO EN LECTURA CRÍTICA PARA ARTICULACIÓN CON LA MEDIA | TÉCNICO EN EJECUCIÓN DE PROGRAMAS DEPORTIVOS | VII CONGRESO NACIONAL DE GERENCIA DEL DEPORTE,4.9,6,0,0,FORMACION ACADEMICA,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,8,8,1789,4.9,2364,6.47,0.757,223.62,353,86,0,0,0,1,1,0
897399503,BACHILLER,ATENCION PREHOSPITALARIA SOPORTE VITAL BASICO CONDUCCION DEFENSIVA DE VEHICULOS DE EMERGENCIA | ATENCION Y SERVICIO AL CLIENTE | BACHILLER ACADEMICO | CAPACITACION EN CONTROL DE INCENDIOS Y MANEJO DE EXTINTORES | CL Y RCP | CONDUCCION DE VEHICULOS EMERGENCIA COVE | COPERATIVISMO | MANEJO DEFENSIVO TEORICO PRACTICO | MANEJO SEGURO DE ARMAS POLIGONO | MECANICA BASICA | PRIMEROS AUXILIOS | REENTRENAMIENTO VIGILANCIA | SVB Y BLS,17.3,15,0,0,EDUCACION INFORMAL,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,8,6318,17.3,9553,26.15,0.661,744.89,3682,22,1,1,0,1,1,0
897401307,PROFESIONAL,ARQUITECTURA,1.6,1,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,585,1.6,663,1.82,0.882,232.0,311,111,0,0,1,1,1,0
897401917,BACHILLER,bachiller academico | programa,14.52,4,0,0,BACHILLER,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5305,14.52,5326,14.58,0.996,2652.5,2741,2564,1,1,1,0,1,0
897402115,BACHILLER,BACHILLER ACADEMICO,1.94,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,707,1.94,707,1.94,1.0,707.0,707,707,0,0,1,0,1,0
897404580,TECNOLOGICO,ASISTENCIA ADMINISTRATIVA | BACHILLER ACADEMICO | CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL | DESARROLLO DE HABILIDADES DIGITALES PARA EXPERIENCIAS SEGURAS EN LINEA | DESARROLLO DE HABILIDADES DIGITALES PARA LA COMUNICACION Y COLABORACION EN LINEA | DESARROLLO DE HABILIDADES DIGITALES PARA LA CONSTRUCCION DE CONTENIDO DIGITAL | DESARROLLO DE HABILIDADES DIGITALES PARA LA GESTION DE LA INFORMACION | ENGLISH DOT WORKS BEGINNER - INGLÉS | PRIMER RESPONDIENTE | TECNICA PROFESIONAL EN OPERACIONES DE LA CADENA LOGISTICA | TECNOLOGIA EN GESTION ADMINISTRATIVA | TECNOLOGIA EN LOGISTICA,1.23,12,2,2,EDUCACION BASICA PRIMARIA,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,3,3,451,1.23,885,2.42,0.51,150.33,215,50,0,0,0,1,1,0
897405166,PROFESIONAL,BACHILLER ACADEMICO | CURSO EN CONCILIACIÓN | DERECHO,3.84,4,1,1,PROFESIONAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,13,13,1401,3.84,2236,6.12,0.627,107.77,298,11,0,0,0,1,3,1
897406517,BACHILLER,BACHILLER TECNICO | CURSO DE MANIPULACION DE ALIMENTOS,2.51,2,0,0,EDUCACION INFORMAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,917,2.51,917,2.51,1.0,917.0,917,917,0,0,1,0,1,0
897406534,BACHILLER,Bachiller Académico,4.0,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1462,4.0,1462,4.0,1.0,1462.0,1462,1462,0,0,1,0,1,0
897406865,BACHILLER,Atención y servicio al cliente | PRIMEROS AUXILIOS | Reentrenamiento vigilancia | bachiller academico con orientacion empresarial,4.44,4,0,0,EDUCACION INFORMAL,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1620,4.44,2119,5.8,0.765,405.25,728,78,0,0,0,1,1,0
